[2025-11-27 22:42:09] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 22:42:18] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 22:48:15] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 22:48:54] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 22:48:56] Evento: click | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 22:55:47] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 22:56:00] Evento: impresion | ID: 3 | Ciudad: cucuta | IP: 172.68.12.84 | OK.
[2025-11-27 22:56:01] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 22:56:36] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.186.143 | OK.
[2025-11-27 22:57:03] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 22:59:19] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.119 | OK.
[2025-11-27 22:59:39] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.119 | OK.
[2025-11-27 22:59:56] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.120 | OK.
[2025-11-27 23:03:15] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.12.84 | OK.
[2025-11-27 23:05:10] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 23:05:36] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.47 | OK.
[2025-11-27 23:05:55] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.47 | OK.
[2025-11-27 23:06:17] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 23:06:38] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.47 | OK.
[2025-11-27 23:29:22] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 23:29:26] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 23:29:47] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 23:30:04] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 23:33:23] Evento: impresion | ID: 3 | Ciudad: armenia | IP: 104.23.248.111 | OK.
[2025-11-27 23:33:30] Evento: impresion | ID: 4 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 23:33:37] Evento: impresion | ID: 4 | Ciudad: bogota | IP: 104.23.248.111 | OK.
